,Unnamed: 0,index,Date mutation,Nature mutation,Type de voie,Voie,Code postal,Commune,Code departement,1er lot,Surface Carrez du 1er lot,Nombre de lots,Type local,Surface reelle bati,Nombre pieces principales,lon,lat,Valeur fonciere
0,0,249339,1263,Vente,AV,FERDINAND BUISSON,75016,BOULOGNE-BILLANCOURT,92,37.0,,1,Appartement,55.0,3.0,2.252551,48.837822,503029.0
1,1,249341,1258,Vente,RUE,NUNGESSER ET COLI,75016,BOULOGNE-BILLANCOURT,92,3.0,,2,Appartement,66.0,3.0,2.251527,48.843581,607600.0
2,2,249342,1306,Vente,RUE,NUNGESSER ET COLI,75016,BOULOGNE-BILLANCOURT,92,24.0,,2,Appartement,105.0,3.0,2.251244,48.842975,860000.0
3,3,249348,1478,Vente,AV,FERDINAND BUISSON,75016,BOULOGNE-BILLANCOURT,92,1.0,,1,Appartement,84.0,4.0,2.252551,48.837822,610000.0
4,4,249352,1359,Vente,AV,FERDINAND BUISSON,75016,BOULOGNE-BILLANCOURT,92,63.0,,2,Appartement,59.0,3.0,2.252037,48.838423,520000.0
5,5,249354,1364,Vente,AV,FERDINAND BUISSON,75016,BOULOGNE-BILLANCOURT,92,38.0,,1,Appartement,107.0,5.0,2.254761,48.835211,1020000.0
6,6,249358,1505,Vente,AV,FERDINAND BUISSON,75016,BOULOGNE-BILLANCOURT,92,31.0,,1,Appartement,61.0,3.0,2.252551,48.837822,479000.0
7,7,249359,1396,Vente,AV,FERDINAND BUISSON,75016,BOULOGNE-BILLANCOURT,92,200.0,,1,Appartement,52.0,2.0,2.252551,48.837822,370000.0
8,8,249361,1422,Vente,AV,FERDINAND BUISSON,75016,BOULOGNE-BILLANCOURT,92,20.0,,1,Appartement,89.0,5.0,2.254571,48.835456,709850.0
9,9,249362,1420,Vente,RUE,NUNGESSER ET COLI,75016,BOULOGNE-BILLANCOURT,92,44.0,,2,Appartement,27.0,1.0,2.251386,48.84326400000001,295000.0
10,10,249371,1464,Vente,RUE,NUNGESSER ET COLI,75016,BOULOGNE-BILLANCOURT,92,29.0,,1,Appartement,31.0,1.0,2.251328,48.843147,336000.0
11,11,249376,1488,Vente,AV,FERDINAND BUISSON,75016,BOULOGNE-BILLANCOURT,92,24.0,,1,Appartement,80.0,4.0,2.252551,48.837822,675000.0
12,12,249379,1486,Vente,RUE,NUNGESSER ET COLI,75016,BOULOGNE-BILLANCOURT,92,10.0,,2,Appartement,70.0,2.0,2.251244,48.842975,581000.0
13,13,249382,1254,Vente,RUE,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,56.0,,1,Appartement,24.0,1.0,2.28055,48.831885,210300.0
14,14,249385,1257,Vente,RUE,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,230.0,,1,Appartement,51.0,3.0,2.28055,48.831885,444000.0
15,15,249389,1254,Vente,RUE,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,72.0,,1,Appartement,32.0,2.0,2.28055,48.831885,247000.0
16,16,249390,1260,Vente,RUE,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,214.0,,1,Appartement,28.0,1.0,2.28055,48.831885,185250.0
17,17,249393,1269,Vente,RUE,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,14.0,,1,Appartement,32.0,2.0,2.28055,48.831885,190000.0
18,18,249395,1274,Vente,RUE,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,191.0,,1,Appartement,32.0,2.0,2.28055,48.831885,260000.0
19,19,249403,1419,Vente,RUE,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,166.0,,1,Appartement,24.0,1.0,2.28055,48.831885,203000.0
20,20,249404,1415,Vente,RUE,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,155.0,,1,Appartement,32.0,2.0,2.28055,48.831885,251674.64
21,21,249406,1515,Vente,RUE,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,236.0,,1,Appartement,33.0,2.0,2.28055,48.831885,257000.0
22,22,249409,1519,Vente,RUE,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,162.0,,1,Appartement,24.0,1.0,2.28055,48.831885,245000.0
23,23,249411,1519,Vente,RUE,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,49.0,,1,Appartement,24.0,1.0,2.28055,48.831885,225000.0
24,24,249413,1407,Vente,RUE,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,194.0,,1,Appartement,51.0,2.0,2.28055,48.831885,445000.0
25,25,249414,1321,Vente,RUE,DUPHOT,75001,PARIS 01,75,21.0,,2,Appartement,112.0,3.0,2.325456,48.868446,1196000.0
26,26,249419,1477,Vente,RUE,BLONDEL,75003,PARIS 03,75,12.0,,1,Appartement,26.0,1.0,2.354921,48.868529,230000.0
27,27,249422,1399,Vente,CITE,DUPETIT THOUARS,75003,PARIS 03,75,15.0,,1,Appartement,45.0,2.0,2.361982,48.86571,506800.0
28,28,249427,1425,Vente,BD,DE COURCELLES,75008,PARIS 08,75,14.0,,1,Appartement,260.0,8.0,2.305461,48.877809,2638500.0
29,29,249430,1451,Vente,RUE,DE RICHELIEU,75001,PARIS 01,75,60.0,,1,Appartement,19.0,1.0,2.337399,48.866547,209000.0
30,30,249431,1399,Vente,RUE,DU TEMPLE,75003,PARIS 03,75,111.0,,1,Appartement,28.0,1.0,2.361764,48.866457,300000.0
31,31,249433,1500,Vente,RUE,MONTMARTRE,75001,PARIS 01,75,30.0,,3,Appartement,75.0,3.0,2.345559,48.864215,752400.0
32,32,249434,1477,Vente,BD,DES BATIGNOLLES,75008,PARIS 08,75,3.0,,1,Appartement,13.0,1.0,2.325825,48.882989,124000.0
33,33,249435,1500,Vente,QUAI,DE LA MEGISSERIE,75001,PARIS 01,75,56.0,,1,Appartement,46.0,2.0,2.343655,48.858293,530000.0
34,34,249436,1321,Vente,RUE,D EDIMBOURG,75008,PARIS 08,75,11.0,,2,Appartement,117.0,4.0,2.320487,48.87947800000001,1200000.0
35,35,249439,1477,Vente,RUE,REAUMUR,75003,PARIS 03,75,27.0,,1,Appartement,15.0,1.0,2.359254,48.864902,170250.0
36,36,249449,1477,Vente,RUE,MICHEL LE COMTE,75003,PARIS 03,75,49.0,,2,Appartement,50.0,2.0,2.354692,48.862659,537600.0
37,37,249457,1270,Vente,BD,DES BATIGNOLLES,75008,PARIS 08,75,24.0,,1,Appartement,14.0,1.0,2.322511,48.882316,118000.0
38,38,249463,1321,Vente,RUE,DES INNOCENTS,75001,PARIS 01,75,80.0,,1,Appartement,187.0,6.0,2.348175,48.860339,1975000.0
39,39,249472,1260,Vente,RUE,DE NAPLES,75008,PARIS 08,75,10.0,,1,Appartement,36.0,2.0,2.319647,48.87966,400000.0
40,40,249481,1263,Vente,RUE,DE TURIN,75008,PARIS 08,75,10.0,,1,Appartement,64.0,3.0,2.324464,48.882428,675000.0
41,41,249484,1260,Vente,RUE,DE MIROMESNIL,75008,PARIS 08,75,70.0,,2,Appartement,90.0,3.0,2.315624,48.878709,1028700.0
42,42,249490,1477,Vente,RUE,DE BASSANO,75008,PARIS 08,75,13.0,,1,Appartement,78.0,3.0,2.299425,48.870725,820000.0
43,43,249530,1260,Vente,RUE,DE LISBONNE,75008,PARIS 08,75,40.0,,1,Appartement,31.0,2.0,2.316966,48.877885,312200.0
44,44,249534,1295,Vente,RUE,SAINT ROCH,75001,PARIS 01,75,3.0,,1,Appartement,24.0,1.0,2.3324740000000004,48.865832,270750.0
45,45,249535,1477,Vente,RUE,COMMINES,75003,PARIS 03,75,13.0,,2,Appartement,53.0,2.0,2.365636,48.861977,595000.0
46,46,249548,1295,Vente,RUE,DU FAUBOURG SAINT HONORE,75008,PARIS 08,75,124.0,,1,Appartement,33.0,1.0,2.30683,48.874294,353000.0
47,47,249563,1262,Vente,RUE,JEAN JACQUES ROUSSEAU,75001,PARIS 01,75,8.0,,1,Appartement,10.0,1.0,2.339991,48.862289,85000.0
48,48,249567,1254,Vente,RUE,DE LA NEVA,75008,PARIS 08,75,168.0,,3,Appartement,21.0,1.0,2.300361,48.877816,195000.0
49,49,249575,1258,Vente,RUE,SAINT MARTIN,75003,PARIS 03,75,50.0,,1,Appartement,31.0,1.0,2.3549740000000003,48.868156,253800.0
50,50,249576,1266,Vente,RUE,DES TOURNELLES,75003,PARIS 03,75,50.0,,3,Appartement,170.0,2.0,2.367403,48.856612,1650000.0
51,51,249588,1267,Vente,RUE,SAINT HONORE,75001,PARIS 01,75,5.0,,1,Appartement,27.0,1.0,2.340421,48.861951,300000.0
52,52,249589,1256,Vente,RUE,CHARLOT,75003,PARIS 03,75,10.0,,2,Appartement,28.0,1.0,2.361832,48.862179,235000.0
53,53,249602,1261,Vente,AV,PERCIER,75008,PARIS 08,75,12.0,,2,Appartement,53.0,2.0,2.314634,48.874037,570000.0
54,54,249604,1267,Vente,BD,DES BATIGNOLLES,75008,PARIS 08,75,39.0,,1,Appartement,16.0,1.0,2.324751,48.88277100000001,100000.0
55,55,249605,1264,Vente,RUE,DE TEHERAN,75008,PARIS 08,75,15.0,,2,Appartement,27.0,2.0,2.312668,48.875721,300800.0
56,56,249610,1269,Vente,RUE,CHARLOT,75003,PARIS 03,75,128.0,,1,Appartement,60.0,3.0,2.364147,48.86431500000001,590000.0
57,57,249613,1269,Vente,RUE,LAVOISIER,75008,PARIS 08,75,11.0,,2,Appartement,130.0,5.0,2.322177,48.87369,1493350.0
58,58,249616,1271,Vente,RUE,DE SAINT PETERSBOURG,75008,PARIS 08,75,12.0,,1,Appartement,82.0,4.0,2.325378,48.881305,500000.0
59,59,249618,1322,Vente,RUE,DE MIROMESNIL,75008,PARIS 08,75,2.0,,1,Appartement,133.0,6.0,2.315363,48.879609,1314518.0
60,60,249648,1269,Vente,PL,SAINTE OPPORTUNE,75001,PARIS 01,75,6.0,,1,Appartement,49.0,2.0,2.347481,48.859571,415000.0
61,61,249652,1268,Vente,RUE,SAINT DENIS,75001,PARIS 01,75,10.0,,1,Appartement,20.0,1.0,2.348464,48.860307,211200.0
62,62,249661,1255,Vente,RUE,MESLAY,75003,PARIS 03,75,58.0,,1,Appartement,22.0,1.0,2.361098,48.8676,193000.0
63,63,249662,1257,Vente,RUE,RAMBUTEAU,75003,PARIS 03,75,36.0,,2,Appartement,38.0,2.0,2.354176,48.861056,365000.0
64,64,249666,1374,Vente,RUE,ARSENE HOUSSAYE,75008,PARIS 08,75,10.0,,2,Appartement,210.0,7.0,2.299369,48.874526,2300000.0
65,65,249671,1269,Vente,RUE,DE L ISLY,75008,PARIS 08,75,6.0,,1,Appartement,92.0,4.0,2.325593,48.874739,1050000.0
66,66,249672,1264,Vente,RUE,DE RICHELIEU,75001,PARIS 01,75,54.0,,1,Appartement,35.0,2.0,2.336257,48.864687,230000.0
67,67,249674,1477,Vente,RUE,NOTRE DAME DE NAZARETH,75003,PARIS 03,75,28.0,,1,Appartement,23.0,1.0,2.355732,48.867773,250000.0
68,68,249687,1266,Vente,RUE,DE LA FERRONNERIE,75001,PARIS 01,75,35.0,,1,Appartement,14.0,1.0,2.34687,48.86023,130000.0
69,69,249688,1255,Vente,RUE,SAINTE ANASTASE,75003,PARIS 03,75,10.0,,2,Appartement,27.0,3.0,2.363377,48.85981,300000.0
70,70,249689,1264,Vente,RUE,DU TEMPLE,75003,PARIS 03,75,18.0,,1,Appartement,38.0,3.0,2.3587,48.863941,280000.0
71,71,249691,1267,Vente,RUE,PIERRE LE GRAND,75008,PARIS 08,75,30.0,,1,Appartement,15.0,1.0,2.301435,48.878211,120000.0
72,72,249693,1267,Vente,RUE,DE ROME,75008,PARIS 08,75,17.0,,1,Appartement,28.0,1.0,2.321537,48.880382,250000.0
73,73,249694,1247,Vente,RUE,JEAN JACQUES ROUSSEAU,75001,PARIS 01,75,36.0,,2,Appartement,11.0,1.0,2.341067,48.862847,110000.0
74,74,249703,1258,Vente,RUE,DE LABORDE,75008,PARIS 08,75,83.0,,1,Appartement,46.0,2.0,2.321642,48.875827,513600.0
75,75,249742,1374,Vente,RUE,DE MIROMESNIL,75008,PARIS 08,75,14.0,,2,Appartement,69.0,4.0,2.315306,48.880346,613000.0
76,76,249748,1263,Vente,RUE,MICHEL LE COMTE,75003,PARIS 03,75,36.0,,1,Appartement,73.0,2.0,2.355277,48.862417,695000.0
77,77,249765,1269,Vente,RUE,DE TURIN,75008,PARIS 08,75,4.0,,1,Appartement,100.0,3.0,2.324426,48.882589,1070000.0
78,78,249766,1263,Vente,RUE,DE SAINT PETERSBOURG,75008,PARIS 08,75,17.0,,1,Appartement,13.0,1.0,2.325498,48.881454,120000.0
79,79,249767,1268,Vente,RUE,SAINT MARTIN,75003,PARIS 03,75,8.0,,1,Appartement,56.0,3.0,2.355051,48.868304,606000.0
80,80,249773,1247,Vente,RUE,DU FOIN,75003,PARIS 03,75,40.0,,1,Appartement,37.0,2.0,2.364943,48.857058,415000.0
81,81,249778,1247,Vente,RUE,DE TURIN,75008,PARIS 08,75,29.0,,2,Appartement,35.0,2.0,2.324426,48.882589,280225.0
82,82,249779,1281,Vente,RUE,AU MAIRE,75003,PARIS 03,75,13.0,,1,Appartement,25.0,2.0,2.356336,48.8646,245280.0
83,83,249787,1267,Vente,RUE,DE TURIN,75008,PARIS 08,75,45.0,,2,Appartement,48.0,3.0,2.324405,48.881683,503623.0
84,84,249793,1400,Vente,RUE,SAINT HONORE,75001,PARIS 01,75,27.0,,1,Appartement,38.0,1.0,2.340421,48.861951,275000.0
85,85,249801,1374,Vente,RUE,DE SAINT PETERSBOURG,75008,PARIS 08,75,14.0,,1,Appartement,24.0,1.0,2.324393,48.880089,207160.0
86,86,249809,1280,Vente,RUE,DE LISBONNE,75008,PARIS 08,75,18.0,,1,Appartement,32.0,1.0,2.3137060000000003,48.877743,360000.0
87,87,249851,1282,Vente,RUE,DES LOMBARDS,75001,PARIS 01,75,10.0,,1,Appartement,36.0,1.0,2.348398,48.859711,393000.0
88,88,249852,1282,Vente,RUE,DU VERTBOIS,75003,PARIS 03,75,2.0,,2,Appartement,100.0,4.0,2.359132,48.86682,1000000.0
89,89,249855,1269,Vente,RUE,DE POITOU,75003,PARIS 03,75,15.0,,1,Appartement,32.0,2.0,2.362613,48.86155,300000.0
90,90,249856,1266,Vente,RUE,DE LA BIENFAISANCE,75008,PARIS 08,75,139.0,,1,Appartement,47.0,3.0,2.321028,48.87673,448000.0
91,91,249870,1400,Vente,RUE,DE BERNE,75008,PARIS 08,75,1.0,,4,Appartement,40.0,2.0,2.323205,48.88079000000001,430000.0
92,92,249878,1282,Vente,RUE,BARBETTE,75003,PARIS 03,75,12.0,,1,Appartement,45.0,2.0,2.3602950000000003,48.859101,300000.0
