index,Valeur fonciere
249349,764189.0
249400,258496.964
249800,288075.0
249943,549712.0
250150,216440.0
250172,299383.0
250414,221925.2
250565,539380.0
251596,147731.0
251597,161511.0
251774,549562.0
252066,372211.0
252191,777999.0
253540,75500.0
253591,629128.0
253635,400600.0
253639,378625.0
253673,153100.0
253675,384500.0
253690,613803.0
253735,273050.0
253745,145200.0
253746,170850.0
253748,322950.0
253750,569615.5
253752,142150.0
253793,199780.0
253796,78300.0
253810,204320.0
253820,123008.9
253837,173300.0
253851,330271.6
253852,253891.5
253853,180225.7
253854,214600.0
253862,640570.0
253887,310781.0
253901,1056532.3
253925,298000.0
253936,402860.0
253938,1338268.4
253953,1270148.6
254225,205320.0
254458,279400.0
254760,326768.0
255210,790693.5
255441,448630.0
256118,453836.0
256775,302605.0
256971,306770.0
256991,387850.0
257340,614977.7
257559,198300.0
257857,270720.0
258276,174450.0
258336,101585.0
258424,392984.5
258455,473585.04000000004
258519,498208.7
258530,1300550.8
258534,201080.0
258763,402559.662
258802,323250.3
259088,471963.334
259090,448239.0
259263,397500.0
260081,198224.0
260138,391084.5
260171,294350.0
260222,274613.0
260630,488434.0
260753,495861.0
260769,135100.0
260775,717720.0
260873,305531.3
260933,476270.0
260973,147398.7
261082,559057.0
261480,1476711.0
261716,213800.0
261760,60700.0
261792,219804.0
261806,417424.0
261820,210384.734
261826,159748.7
261833,152218.7
261892,137882.8
261966,374748.0
261970,288500.0
262120,551217.0
262147,281604.1
262561,193700.0
262896,156200.0
262902,1036000.0
262921,1291478.8
262939,329050.0
263133,770095.0
263167,400910.0
263200,212555.0
263408,330190.0
263514,222345.0
263542,377237.5
263556,251185.0
263558,922247.2
263560,762650.0
263561,428350.0
263565,84300.0
263578,265080.0
263592,1252558.1
263607,386650.0
263620,305945.0
263629,702659.71
263634,204050.0
263639,302500.0
263640,499860.0
263644,99570.0
263717,346800.0
263722,158870.0
263724,115150.0
263734,239825.0
263745,707200.0
263746,245350.0
263752,380310.0
263755,902760.0
263763,325580.0
263770,59022.0
263792,214569.5
263793,193850.0
263794,184660.0
263799,82790.8
263804,1046934.4
263808,391554.0
263814,380020.0
263818,149846.5
263838,133932.0
263862,306255.1
263883,424694.0
263884,1228852.1
263888,1246256.6
263895,838675.8
263896,1188590.2
263897,218154.3
263898,150200.0
263899,449478.334
263907,76500.0
263908,306319.0
263919,258440.0
263928,299000.0
263934,410400.8
263943,493320.0
263948,299950.0
263959,396628.0
263965,269600.0
263991,169980.0
263993,1171773.2
264006,733500.0
264007,206380.0
264651,94260.0
264656,288909.0
264658,195949.8
264713,331500.0
264827,146545.0
264884,165030.8
265037,292404.0
265063,442707.2
265277,355500.0
265308,720647.3099999999
265346,449060.7
265556,659264.0
265659,736200.0
265686,352035.0
265912,350317.788
266039,681927.3099999999
266061,403120.0
266333,251905.0
266343,348350.0
266372,723805.0
266403,610570.7
266527,193767.9
267127,501702.4
267232,247310.0
267239,308275.0
267323,252700.0
267344,793534.5
267353,192867.9
267494,178500.0
267573,339373.0
267630,457800.0
267669,744730.0
267827,216819.5
267830,165210.0
267849,180075.0
267867,920120.6
268056,565790.0
268069,336947.0
268424,262940.0
268742,461369.0
268746,202750.0
268750,764986.5
268758,455627.0
268761,168900.0
268781,436285.0
269130,256300.0
269140,165980.0
269201,354502.0
269800,433965.0
269994,232875.0
270041,418905.0
270056,252540.0
270116,294650.0
270122,72510.0
270133,461804.0
270260,253368.5
270309,664888.0
271206,405650.0
271302,227000.0
271325,164950.0
271342,297400.0
271484,277602.8
271593,476200.0
271693,527024.0
271710,396880.0
271810,533770.0
271965,493227.9
272072,436350.0
272186,327544.7
272600,525527.7
272694,290303.588
272718,179545.0
272730,840900.0
272847,357750.0
272848,701910.0
273013,199975.0
273380,273635.0
273382,285713.4
273722,257157.0
273803,478384.0
273990,578286.0
274093,473300.0
275237,649535.1
275274,325234.0
275282,475208.0
275350,509670.0
275517,337676.4
275568,181410.0
275680,602263.7
275728,186045.0
275825,511162.0
275861,831145.0
275894,459988.7
275918,828100.0
275924,802745.0
275926,618652.0
275958,321857.3
275960,490179.0
275969,340737.0
275989,849278.1
276029,821577.3
276062,698550.0
276149,397125.0
276273,408120.0
276373,573845.0
276473,609880.0
276576,218239.0
276693,567995.2
276768,288950.0
276787,695040.0
276792,618528.6
276795,282750.0
276904,901822.6120000001
276917,489579.0
277073,233185.0
277108,282180.0
277664,494430.0
277670,253130.0
277765,366384.5
277769,282232.388
277783,112400.0
277818,492346.5
278065,65795.0
278091,174500.0
278093,561170.0
278096,506175.0
278104,408420.0
278130,409386.7
278134,200529.0
278136,123561.5
278144,935467.2
278146,174045.0
278154,156405.0
278161,709215.0
278171,364510.0
278178,206740.0
