,index,Nature mutation,Type de voie,Voie,Code postal,Commune,Code departement,1er lot,Surface Carrez du 1er lot,Nombre de lots,Type local,Surface reelle bati,Nombre pieces principales,lon,lat,Valeur fonciere
1,249339,Vente,AV,FERDINAND BUISSON,75016,BOULOGNE-BILLANCOURT,92,37.0,"62,22",1,Appartement,55.0,3.0,2.252551,48.837822,"503029,00"
3,249341,Vente,RUE,NUNGESSER ET COLI,75016,BOULOGNE-BILLANCOURT,92,3.0,"76,54",2,Appartement,66.0,3.0,2.251527,48.843581,"607600,00"
4,249342,Vente,RUE,NUNGESSER ET COLI,75016,BOULOGNE-BILLANCOURT,92,24.0,"108,08",2,Appartement,105.0,3.0,2.251244,48.842975,"860000,00"
7,249348,Vente,AV,FERDINAND BUISSON,75016,BOULOGNE-BILLANCOURT,92,1.0,"84,36",1,Appartement,84.0,4.0,2.252551,48.837822,"610000,00"
8,249352,Vente,AV,FERDINAND BUISSON,75016,BOULOGNE-BILLANCOURT,92,63.0,"59,82",2,Appartement,59.0,3.0,2.252037,48.838423,"520000,00"
9,249354,Vente,AV,FERDINAND BUISSON,75016,BOULOGNE-BILLANCOURT,92,38.0,"107,08",1,Appartement,107.0,5.0,2.254761,48.835211,"1020000,00"
12,249358,Vente,AV,FERDINAND BUISSON,75016,BOULOGNE-BILLANCOURT,92,31.0,"61,53",1,Appartement,61.0,3.0,2.252551,48.837822,"479000,00"
13,249359,Vente,AV,FERDINAND BUISSON,75016,BOULOGNE-BILLANCOURT,92,200.0,"55,33",1,Appartement,52.0,2.0,2.252551,48.837822,"370000,00"
14,249361,Vente,AV,FERDINAND BUISSON,75016,BOULOGNE-BILLANCOURT,92,20.0,"89,06",1,Appartement,89.0,5.0,2.254571,48.835456,"709850,00"
15,249362,Vente,RUE,NUNGESSER ET COLI,75016,BOULOGNE-BILLANCOURT,92,44.0,"28,78",2,Appartement,27.0,1.0,2.251386,48.84326400000001,"295000,00"
18,249371,Vente,RUE,NUNGESSER ET COLI,75016,BOULOGNE-BILLANCOURT,92,29.0,"31,45",1,Appartement,31.0,1.0,2.251328,48.843147,"336000,00"
21,249376,Vente,AV,FERDINAND BUISSON,75016,BOULOGNE-BILLANCOURT,92,24.0,"87,40",1,Appartement,80.0,4.0,2.252551,48.837822,"675000,00"
22,249379,Vente,RUE,NUNGESSER ET COLI,75016,BOULOGNE-BILLANCOURT,92,10.0,"62,52",2,Appartement,70.0,2.0,2.251244,48.842975,"581000,00"
24,249382,Vente,RUE,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,56.0,"24,43",1,Appartement,24.0,1.0,2.28055,48.831885,"210300,00"
25,249385,Vente,RUE,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,230.0,"49,50",1,Appartement,51.0,3.0,2.28055,48.831885,"444000,00"
26,249389,Vente,RUE,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,72.0,"31,63",1,Appartement,32.0,2.0,2.28055,48.831885,"247000,00"
27,249390,Vente,RUE,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,214.0,"27,51",1,Appartement,28.0,1.0,2.28055,48.831885,"185250,00"
28,249393,Vente,RUE,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,14.0,"32,00",1,Appartement,32.0,2.0,2.28055,48.831885,"190000,00"
29,249395,Vente,RUE,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,191.0,"32,06",1,Appartement,32.0,2.0,2.28055,48.831885,"260000,00"
31,249403,Vente,RUE,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,166.0,"24,92",1,Appartement,24.0,1.0,2.28055,48.831885,"203000,00"
32,249404,Vente,RUE,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,155.0,"32,60",1,Appartement,32.0,2.0,2.28055,48.831885,"251674,64"
33,249406,Vente,RUE,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,236.0,"33,00",1,Appartement,33.0,2.0,2.28055,48.831885,"257000,00"
34,249409,Vente,RUE,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,162.0,"25,00",1,Appartement,24.0,1.0,2.28055,48.831885,"245000,00"
35,249411,Vente,RUE,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,49.0,"24,05",1,Appartement,24.0,1.0,2.28055,48.831885,"225000,00"
36,249413,Vente,RUE,D ORADOUR SUR GLANE,75015,ISSY-LES-MOULINEAUX,92,194.0,"50,10",1,Appartement,51.0,2.0,2.28055,48.831885,"445000,00"
37,249414,Vente,RUE,DUPHOT,75001,PARIS 01,75,21.0,"106,85",2,Appartement,112.0,3.0,2.325456,48.868446,"1196000,00"
38,249419,Vente,RUE,BLONDEL,75003,PARIS 03,75,12.0,"22,28",1,Appartement,26.0,1.0,2.354921,48.868529,"230000,00"
39,249422,Vente,CITE,DUPETIT THOUARS,75003,PARIS 03,75,15.0,"42,68",1,Appartement,45.0,2.0,2.361982,48.86571,"506800,00"
42,249427,Vente,BD,DE COURCELLES,75008,PARIS 08,75,14.0,"253,30",1,Appartement,260.0,8.0,2.305461,48.877809,"2638500,00"
43,249430,Vente,RUE,DE RICHELIEU,75001,PARIS 01,75,60.0,"15,68",1,Appartement,19.0,1.0,2.337399,48.866547,"209000,00"
44,249431,Vente,RUE,DU TEMPLE,75003,PARIS 03,75,111.0,"23,74",1,Appartement,28.0,1.0,2.361764,48.866457,"300000,00"
45,249433,Vente,RUE,MONTMARTRE,75001,PARIS 01,75,30.0,"68,20",3,Appartement,75.0,3.0,2.345559,48.864215,"752400,00"
46,249434,Vente,BD,DES BATIGNOLLES,75008,PARIS 08,75,3.0,"12,66",1,Appartement,13.0,1.0,2.325825,48.882989,"124000,00"
47,249435,Vente,QUAI,DE LA MEGISSERIE,75001,PARIS 01,75,56.0,"44,42",1,Appartement,46.0,2.0,2.343655,48.858293,"530000,00"
48,249436,Vente,RUE,D EDIMBOURG,75008,PARIS 08,75,11.0,"108,06",2,Appartement,117.0,4.0,2.320487,48.87947800000001,"1200000,00"
49,249439,Vente,RUE,REAUMUR,75003,PARIS 03,75,27.0,"16,24",1,Appartement,15.0,1.0,2.359254,48.864902,"170250,00"
51,249449,Vente,RUE,MICHEL LE COMTE,75003,PARIS 03,75,49.0,"47,98",2,Appartement,50.0,2.0,2.354692,48.862659,"537600,00"
55,249457,Vente,BD,DES BATIGNOLLES,75008,PARIS 08,75,24.0,"11,27",1,Appartement,14.0,1.0,2.322511,48.882316,"118000,00"
56,249463,Vente,RUE,DES INNOCENTS,75001,PARIS 01,75,80.0,"185,57",1,Appartement,187.0,6.0,2.348175,48.860339,"1975000,00"
57,249472,Vente,RUE,DE NAPLES,75008,PARIS 08,75,10.0,"36,00",1,Appartement,36.0,2.0,2.319647,48.87966,"400000,00"
60,249481,Vente,RUE,DE TURIN,75008,PARIS 08,75,10.0,"67,77",1,Appartement,64.0,3.0,2.324464,48.882428,"675000,00"
62,249484,Vente,RUE,DE MIROMESNIL,75008,PARIS 08,75,70.0,"84,48",2,Appartement,90.0,3.0,2.315624,48.878709,"1028700,00"
63,249490,Vente,RUE,DE BASSANO,75008,PARIS 08,75,13.0,"77,20",1,Appartement,78.0,3.0,2.299425,48.870725,"820000,00"
64,249530,Vente,RUE,DE LISBONNE,75008,PARIS 08,75,40.0,"30,05",1,Appartement,31.0,2.0,2.316966,48.877885,"312200,00"
66,249534,Vente,RUE,SAINT ROCH,75001,PARIS 01,75,3.0,"23,08",1,Appartement,24.0,1.0,2.3324740000000004,48.865832,"270750,00"
67,249535,Vente,RUE,COMMINES,75003,PARIS 03,75,13.0,"54,44",2,Appartement,53.0,2.0,2.365636,48.861977,"595000,00"
69,249548,Vente,RUE,DU FAUBOURG SAINT HONORE,75008,PARIS 08,75,124.0,"30,60",1,Appartement,33.0,1.0,2.30683,48.874294,"353000,00"
73,249563,Vente,RUE,JEAN JACQUES ROUSSEAU,75001,PARIS 01,75,8.0,"10,23",1,Appartement,10.0,1.0,2.339991,48.862289,"85000,00"
