index,Code service CH,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain,lon,lat,code_IRIS,code_district_admin,code_district_custom,Valeur fonciere
249338,,,,,,,,1,1256,Vente,25.0,,AV,3520,FERDINAND BUISSON,75016,BOULOGNE-BILLANCOURT,92,12,,AS,87,,45.0,,86.0,,,,,,,,2,2.0,Appartement,,89.0,3.0,,,,2.2530799999999997,48.837201,751166131.0,61.0,Auteuil Sud,"650000,00"
249339,,,,,,,,1,1263,Vente,35.0,,AV,3520,FERDINAND BUISSON,75016,BOULOGNE-BILLANCOURT,92,12,,AS,81,,37.0,"62,22",,,,,,,,,1,2.0,Appartement,,55.0,3.0,,,,2.252551,48.837821999999996,751166131.0,61.0,Auteuil Sud,"503029,00"
249340,,,,,,,,1,1263,Vente,3.0,,RUE,1480,DU CDT GUILBAUD A PARIS,75016,BOULOGNE-BILLANCOURT,92,12,,V,87,,32.0,,8.0,"92,37",,,,,,,2,2.0,Appartement,,90.0,4.0,,,,2.2518689999999997,48.838918,751166131.0,61.0,Auteuil Sud,"791600,00"
249341,,,,,,,,1,1258,Vente,20.0,,RUE,6660,NUNGESSER ET COLI,75016,BOULOGNE-BILLANCOURT,92,12,,U,51,,3.0,"76,54",40.0,,,,,,,,2,2.0,Appartement,,66.0,3.0,,,,2.251527,48.843581,751166131.0,61.0,Auteuil Sud,"607600,00"
249342,,,,,,,,1,1306,Vente,30.0,,RUE,6660,NUNGESSER ET COLI,75016,BOULOGNE-BILLANCOURT,92,12,,U,49,,24.0,"108,08",62.0,,,,,,,,2,2.0,Appartement,,105.0,3.0,,,,2.251244,48.842975,751166131.0,61.0,Auteuil Sud,"860000,00"
249344,,,,,,,,1,1310,Vente,47.0,,AV,3520,FERDINAND BUISSON,75016,BOULOGNE-BILLANCOURT,92,12,,X,100,,73.0,,74.0,,,,,,,,2,2.0,Appartement,,59.0,3.0,,,,2.252037,48.838423,751166131.0,61.0,Auteuil Sud,"450000,00"
249347,,,,,,,,1,1296,Vente,20.0,,RUE,6660,NUNGESSER ET COLI,75016,BOULOGNE-BILLANCOURT,92,12,,U,51,,48.0,,5.0,"145,12",,,,,,,2,2.0,Appartement,,155.0,5.0,,,,2.251527,48.843581,751166131.0,61.0,Auteuil Sud,"1365930,00"
249348,,,,,,,,1,1478,Vente,35.0,,AV,3520,FERDINAND BUISSON,75016,BOULOGNE-BILLANCOURT,92,12,,AS,81,,1.0,"84,36",,,,,,,,,1,2.0,Appartement,,84.0,4.0,,,,2.252551,48.837821999999996,751166131.0,61.0,Auteuil Sud,"610000,00"
249352,,,,,,,,1,1359,Vente,47.0,,AV,3520,FERDINAND BUISSON,75016,BOULOGNE-BILLANCOURT,92,12,,X,100,,63.0,"59,82",64.0,,,,,,,,2,2.0,Appartement,,59.0,3.0,,,,2.252037,48.838423,751166131.0,61.0,Auteuil Sud,"520000,00"
249354,,,,,,,,1,1364,Vente,3.0,,AV,3520,FERDINAND BUISSON,75016,BOULOGNE-BILLANCOURT,92,12,,BO,45,,38.0,"107,08",,,,,,,,,1,2.0,Appartement,,107.0,5.0,,,,2.2547610000000002,48.835211,751166131.0,61.0,Auteuil Sud,"1020000,00"
249355,,,,,,,,1,1505,Vente,11.0,,AV,3520,FERDINAND BUISSON,75016,BOULOGNE-BILLANCOURT,92,12,,BO,63,,133.0,,226.0,"92,46",,,,,,,2,2.0,Appartement,,96.0,5.0,,,,2.254359,48.835704,751166131.0,61.0,Auteuil Sud,"700000,00"
249356,,,,,,,,1,1367,Vente,11.0,,AV,3520,FERDINAND BUISSON,75016,BOULOGNE-BILLANCOURT,92,12,,BO,63,,137.0,,173.0,"29,70",,,,,,,2,2.0,Appartement,,30.0,1.0,,,,2.254359,48.835704,751166131.0,61.0,Auteuil Sud,"220000,00"
249358,,,,,,,,1,1505,Vente,35.0,,AV,3520,FERDINAND BUISSON,75016,BOULOGNE-BILLANCOURT,92,12,,AS,81,,31.0,"61,53",,,,,,,,,1,2.0,Appartement,,61.0,3.0,,,,2.252551,48.837821999999996,751166131.0,61.0,Auteuil Sud,"479000,00"
